Career,Deskripsi,Tips,Rata_rata_gaji,Kualifikasi_Formal
IT Support Specialist,"Memberikan bantuan teknis dan troubleshooting untuk perangkat keras, software, & jaringan.",Kuasai sistem operasi & jaringan serta sertifikasi A+/ networking.,IDR 5–8 juta/bln,D3/S1 TI + sertifikasi CompTIA/A+
Fashion Designer,"Merancang busana dan tren, dari konsep hingga produk jadi.",Buat portofolio digital dan ikuti fashion show.,USD 50 000+/tahun global,D3/S1 Fashion/Desain
Marketing Coordinator,"Menjalankan kampanye pemasaran, koordinasi acara, dan analitik kampanye.","Kuasai SEO, content planning, dan analitik dasar.",IDR 8–12 juta/bln (estimasi),S1 Marketing/Komunikasi
Biomedical Engineer,Mengembangkan perangkat medis dan teknologi kesehatan untuk diagnosa & terapi.,Pelajari regulasi FDA/CE dan bioinstrumentasi.,USD 70 000+/tahun global,S1 Biomedis/Elektro
Event Photographer,"Mendokumentasikan acara profesional melalui foto, editing, dan storytelling visual.",Bangun portofolio acara nyata dan kuasai editing Lightroom.,IDR 6–10 juta/bln (freelance),SMA/D3 Fotografi
Data Analyst,Mengolah data untuk insight bisnis melalui statistik dan visualisasi.,"Kuasai SQL, Excel, dan tools BI (Tableau/PowerBI).",USD 60 000+/tahun global,S1 Statistik/TI/Ekonomi
Pharmacist,"Membuat resep, memberi saran obat, dan memastikan keamanan pasien.",Perlu STR & update regulasi obat terkini.,IDR 8–12 juta/bln,S1 Farmasi + STR
Social Worker,Memberikan dukungan sosial dan psikologis untuk kelompok rentan.,Pelajari teknik case management & pendampingan.,IDR 4–7 juta/bln (instansi),S1 Psikologi/Sosial + sertifikasi social worker
Financial Planner,Membantu klien merancang strategi keuangan untuk tujuan jangka panjang.,Pelajari produk investasi & sertifikasi CFP.,USD 65 000+/tahun global,S1 Keuangan/Ekonomi + CFP
Biotechnologist,"Mengembangkan produk atau proses bioteknologi untuk kesehatan, pertanian, & industri.","Kuasai PCR, fermentasi, dan bioinformasi.",USD 55 000+/tahun global,S1 Bioteknologi/Molekuler
HR Recruiter,Menyeleksi dan merekrut kandidat terbaik sesuai kebutuhan perusahaan.,"Kuasai sourcing, wawancara kompetensi, dan ATS.",IDR 6–10 juta/bln,S1 Psikologi/Manajemen + sertifikasi HR
Software QA Tester,Menyusun dan menjalankan testing untuk memastikan kualitas perangkat lunak.,Pelajari testing otomatis (Selenium) dan dokumentasi bug.,USD 55 000+/tahun global,S1 TI/Informatika
Elementary School Teacher,Mendidik anak usia dasar dengan metode interaktif & kurikulum nasional.,Kuasai nilai perkembangan anak dan metode kreatif.,IDR 4–6 juta/bln,S1 Pendidikan SD + Sertifikasi
Industrial Engineer,Meningkatkan efisiensi proses industri dan manajemen rantai pasokan.,Kuasai lean manufacturing & Six Sigma.,USD 70 000+/tahun global,S1 Teknik Industri
Market Research Analyst,Mengumpulkan & menganalisis data pasar untuk strategi pemasaran.,"Kuasai survei, analitik data, dan segmentasi pasar.",USD 60 000+/tahun global,S1 Marketing/Ekonomi
Financial Auditor,Melakukan audit keuangan internal/eksternal untuk kepatuhan & transparansi.,Pelajari IFRS/GAAP dan sertifikasi ACCA/CPA.,USD 65 000+/tahun global,S1 Akuntansi + CPA/ACCA
Musician,"Berkarya musik, tampil secara live atau rekaman profesional.",Latih teknik dan buat rekaman demo yang berkualitas.,USD 30 000–50 000/tahun,Portofolio & jam terbang tinggi
Police Detective,"Menyelidiki kejahatan, mengumpulkan bukti, dan menangkap pelaku.",Tingkatkan kemampuan analisis serta wawancara forensik.,IDR 6–8 juta/bln (perwira awal),SMA/D3 Kepolisian + pelatihan detektif
Marketing Copywriter,Menulis konten iklan kreatif yang menarik dan persuasive.,Kuasai storytelling dan bahasa persuasif.,USD 50 000+/tahun global,S1 Komunikasi/Marketing
Zoologist,Mempelajari perilaku dan habitat hewan untuk konservasi dan riset.,Kuasai taksonomi dan metode observasi lapang.,USD 60 000+/tahun global,S1 Zoologi/Biologi
Speech Therapist (Pathologist),Membantu individu dengan gangguan bicara dan bahasa memulihkan komunikasi.,Pelajari teknik terapi dan evaluasi speech disorders.,USD 70 000+/tahun global,S1 Pathologi Bicara + sertifikasi
Mechanical Engineer,Mendesain dan memelihara sistem mekanik dalam berbagai industri.,Kuasai CAD dan analisis mekanikal.,USD 75 000+/tahun global,S1 Teknik Mesin
Forensic Scientist,Menganalisis bukti kriminal secara ilmiah untuk keperluan penegakan hukum.,Pelajari teknik laboratorium forensik dan dokumentasi.,USD 60 000–80 000/tahun (AS),S1 Kimia/Farmasi/Biologi + pelatihan forensik
Social Media Manager,"Mengelola strategi konten, engagement, dan iklan di media sosial.",Kuasai platform analytics dan engagement tools.,USD 55 000+/tahun global,S1 Marketing/Komunikasi
Geologist,Meneliti struktur dan proses bumi untuk eksplorasi sumber daya dan mitigasi bencana.,Kuasai teknik sampling dan geologi lapangan.,USD 70 000+/tahun global,S1 Geologi
Web Developer,Membangun & memelihara situs web front-end/back-end.,Kuasai HTML/CSS/JavaScript dan framework modern.,USD 70 000+/tahun global,S1 TI/Informatika
Wildlife Biologist,Melestarikan satwa liar melalui riset populasi dan habitat alami.,Kuasai teknik tracking dan konservasi lapangan.,USD 50 000–60 000/tahun global,S1 Biologi/Konservasi
Air Traffic Controller,Mengarahkan lalu lintas udara dan memastikan keamanan penerbangan.,Latih konsentrasi tinggi dan multitasking.,USD 120 000+/tahun global,D3/S1 Penerbangan + lisensi ATC
Game Developer,"Menciptakan game (kode, grafik, gameplay) untuk berbagai platform.",Bangun demo game dan kuasai game engine (Unity/Unreal).,USD 70 000+/tahun global,S1 TI/Game Dev atau portofolio kuat
Urban Planner,Merencanakan tata ruang kota yang efisien dan berkelanjutan.,"Pelajari GIS, zoning, dan kebijakan urban.",USD 65 000+/tahun global,S1 Perencanaan Wilayah & Kota
Financial Advisor,Memberi nasihat keuangan dan investasi personal.,Pelajari produk keuangan & sertifikasi CFP.,USD 65 000+/tahun global,S1 Keuangan/Ekonomi + CFP
Airline Pilot,Menerbangkan pesawat komersial sambil menjamin keamanan penumpang.,Capai jam terbang tinggi dan simulasikan emergency procedure.,USD 120 000+/tahun global,D3/S1 Penerbangan + lisensi pilot
Environmental Engineer,Mendesain solusi teknis untuk masalah lingkungan seperti limbah & polusi.,Kuasai regulasi lingkungan dan teknik remediasi.,USD 75 000+/tahun global,S1 Teknik Lingkungan
Interior Designer,Mendesain interior ruang hidup/kerja agar estetis dan fungsional.,Kuasai software CAD & prinsip ergonomi desain interior.,IDR 6–10 juta/bln,D3/S1 Desain Interior
Physical Therapist,Memberi terapi fisik untuk pasien memulihkan fungsi motorik.,Pelajari teknik terapi manual dan rehabilitasi pasien.,USD 70 000+/tahun global,S1 Fisioterapi + STR
Mechanical Designer,Membuat rancangan teknis produk dengan teknik mekanikal.,Kuasai CAD dan analisis kekuatan material.,USD 60 000+/tahun global,D3/S1 Teknik Mesin
Dental Hygienist,Membersihkan dan mendampingi perawatan gigi sebagai bagian dari tim dental.,Pelajari teknik scaling dan interaksi pasien produktif.,USD 70 000+/tahun global,D3 Kebidanan? Actually D3 Keperawatan Gigi + STR
Marketing Analyst,Mengukur efektivitas kampanye marketing menggunakan analitik data.,"Kuasai Excel, Google Analytics & survei data.",USD 60 000+/tahun global,S1 Marketing/Ekonomi/Data
Aerospace Engineer,"Mendesain dan mengembangkan pesawat, satelit, atau sistem roket.",Kuasai aerodinamika dan software CAD/CFD.,USD 85 000+/tahun global,S1 Teknik Dirgantara
Pediatric Nurse,Merawat bayi dan anak di rumah sakit atau klinik pediatrik.,Pelajari growth milestone dan teknik bermain edukatif.,USD 60 000+/tahun global,D3/S1 Keperawatan + STR
Advertising Executive,Mengelola strategi iklan dan negosiasi media untuk klien.,Kembangkan kreativitas dan network media.,USD 70 000+/tahun global,S1 Marketing/Periklanan
Wildlife Conservationist,Melindungi dan merestorasi populasi satwa serta habitat ekologis.,Kuasai konservasi berbasis komunitas & penelitian lapang.,USD 40 000–60 000/tahun global,S1 Biologi/Konservasi
IT Project Manager,Memimpin tim IT dan proyek mulai dari requirement hingga deployment.,Pelajari Agile/Scrum dan sertifikasi PMP.,USD 90 000+/tahun global,S1 TI/Manajemen + PMP
Forestry Technician,Mengelola area hutan untuk konservasi dan sumber daya alam.,Kuasai dendrometri dan teknik survei hutan.,USD 35 000–45 000/tahun global,D3/S1 Kehutanan
Video Game Tester,Menguji game untuk menemukan bug dan masalah UX sebelum rilis.,Pelajari bug reporting dan quality process.,IDR 5–8 juta/bln (freelance),SMA/D3 TI atau gaming
Marriage Counselor,Memberikan nasihat kepada pasangan untuk memperbaiki komunikasi dan hubungan.,Kuasai teori terapi pasangan dan komunikasi aktif.,USD 50 000+/tahun global,S1 Psikologi/Sosial + sertifikasi terapi
Biomedical Researcher,Meneliti penyakit dan solusi medis menggunakan metode biomedis.,"Kuasai teknik PCR, kultur sel, dan publikasi jurnal.",USD 60 000+/tahun global,S2/S3 Biomedis/Molekuler
Database Administrator,Memelihara dan mengoptimalkan basis data perusahaan.,"Kuasai SQL, backup recovery dan sertifikasi DBA.",USD 75 000+/tahun global,S1 TI/Informatika
Public Relations Specialist,Mengelola citra publik dan komunikasi media organisasi.,Latih teknik crisis communication dan media relations.,USD 55 000+/tahun global,S1 Komunikasi/PR
Genetic Counselor,Memberi saran medis terkait kondisi genetik kepada pasien dan keluarga.,Pelajari genetik medis dan asaskan empati komunikasi.,USD 80 000+/tahun global,S1 Genetika/Biologi + sertifikasi genetika
Market Researcher,Meriset tren konsumen dan perilaku pasar untuk strategi bisnis.,"Kuasai statistik, survei dan penyajian insight.",USD 60 000+/tahun global,S1 Marketing/Ekonomi
Occupational Therapist,Membantu individu memaksimalkan fungsi dalam aktivitas sehari-hari.,Kuasai terapi adaptif & ergonomi personal.,USD 75 000+/tahun global,S1 Terapi Okupasi + sertifikasi OT
Electrical Engineer,Mendesain dan memelihara sistem listrik dan elektronik.,Kuasai PCB design dan sistem kontrol.,USD 80 000+/tahun global,S1 Elektro/Teknik Listrik
Investment Banker,Menyusun transaksi keuangan besar seperti M&A dan IPO.,Kuasai modeling dan sertifikasi CFA/FRM.,USD 120 000+/tahun global,S1 Keuangan/Ekonomi + CFA
Marine Biologist,Meneliti ekosistem laut dan makhluk di dalamnya untuk konservasi.,Kuasai biologi laut dan pengamatan lapang.,USD 50 000–70 000/tahun global,S1 Biologi Laut/Ekologi
Human Rights Lawyer,Membela hak asasi manusia melalui litigasi dan advokasi.,Kuasai hukum HAM & praktik litigasi.,USD 70 000+/tahun global,S1 Hukum + advokasi HAM
Database Analyst,Mengekstrak insight dari database untuk keputusan bisnis.,"Kuasai SQL, ETL, dan data visualization tools.",USD 65 000+/tahun global,S1 TI/Statistika
Pediatrician,Dokter spesialis anak menangani kesehatan bayi hingga remaja.,Lanjutkan residency dan klinik pediatri.,USD 200 000+/tahun global,S1 Kedokteran + Spesialis Anak
Technical Writer,Membuat dokumentasi teknis untuk produk teknologi agar mudah dipahami.,Kembangkan bahasa sederhana & kuasai tools docs seperti Markdown/Sphinx.,USD 60.000+/tahun global,S1 Teknik/Literasi
Forensic Psychologist,Menganalisis kondisi mental pelaku untuk kasus hukum dan evaluasi kriminal.,Pelajari teori psikologi forensik dan asesmen klinis.,USD 80.000+/tahun global,S2 Psikologi Forensik + lisensi
Product Manager,Mengelola roadmap produk dan koordinasi lintas tim hingga launch.,Kuasai Agile dan stakeholder management.,USD 110.000+/tahun global,S1 Bisnis/TI + sertifikasi PM
Fashion Stylist,"Menyusun gaya busana untuk individu, merek, atau editorial.",Bangun portfolio gaya dan kuasai trend forecasting.,USD 50.000+/tahun global,D3/S1 Fashion/Styling
Speech Pathologist,Sama dengan speech therapist; terapi gangguan bahasa dan bicara.,Kuasai tools penilaian & berbagai teknik terapi.,USD 70.000+/tahun global,S1 Pathologi Bicara + STR
Public Health Analyst,Menganalisis kebijakan kesehatan untuk meningkatkan layanan publik.,Kuasai epidemiologi dan health data analytics.,USD 60.000+/tahun global,S1 Kesehatan Masyarakat/Epidemiologi
Sports Coach,Melatih atlet untuk meningkatkan kinerja dan strategi olahraga.,Kembangkan rencana latihan & teknik motivasi.,USD 40.000–60.000/tahun global,Sertifikasi olahraga + pengalaman lapang
Insurance Underwriter,Mengevaluasi risiko dan menetapkan premi asuransi untuk klien atau perusahaan.,Kuasai analitik risiko & regulasi asuransi.,USD 70.000+/tahun global,S1 Aktuaria/Keuangan
Chiropractor,Menangani masalah tulang belakang dan sistem muskuloskeletal melalui manipulasi.,Kuasai teknik adjustmen dan diagnostic imaging.,USD 80.000+/tahun global,D4 Chiropraktik + lisensi klinis
Radiologic Technologist,"Mengoperasikan mesin pencitraan medis (X-ray, CT, MRI) untuk diagnosa.",Latih protokol safety radiasi dan teknik imaging.,USD 60.000+/tahun global,D3 Radiologi + STR
Tax Accountant,Mengurusi perpajakan individu dan korporat agar compliant dan efisien.,Pelajari regulasi pajak dan e-filing.,USD 60.000+/tahun global,S1 Akuntansi + sertifikat pajak
Quality Control Inspector,Memastikan produk/jasa memenuhi standar mutu sebelum distribusi.,Kuasai teknik sampling & SPC (Statistical Process Control).,IDR 5–8 juta/bln (INDO) / USD 50.000+/tahun global,SMA/D3 Teknik + sertifikat QC
Rehabilitation Counselor,Membantu pasien pulih secara psikologis/fisik setelah trauma atau disabilitas.,Kuasai teknik rehabilitasi dan pendampingan pasien.,USD 45.000–60.000/tahun global,S1 Psikologi/Sosial + sertifikasi rehab
Film Director,Mengarahkan produksi film atau video dari ide hingga skrip dan shooting.,Bangun vision board & network dengan kru film.,USD 50.000–80.000/tahun global,Gelar film atau pengalaman lapang
Diplomat,Mewakili negara dalam hubungan internasional dan negosiasi diplomatik.,Kuasai bahasa asing & protokol diplomatik.,USD 90.000+/tahun global,S1 Hubungan Internasional + pelatihan diplomasi
Police Officer,Melindungi masyarakat dan menegakkan hukum di lingkungan publik.,Pelajari prosedur polisi & latihan fisik ketat.,IDR 4–6 million/bln rata-rata,SMA + akademi kepolisian
Administrative Officer,Mengelola administrasi office dan koordinasi operasional sehari-hari.,Kuasai manajemen dokumen dan komunikasi business.,IDR 5–8 juta/bln (INDO),D3/S1 Manajemen/Admin
Tax Collector,Mengumpulkan pajak dan menyesuaikan data wajib pajak agar compliant.,Pelajari sistem perpajakan & soft skills negosiasi.,IDR 6–9 juta/bln (INDO),S1 Akuntansi/Ekonomi
Foreign Service Officer,"Melayani di kedutaan atau konsulat, urus wni & diplomasi.",Bangun kemampuan komunikasi & adaptasi budaya.,USD 70.000+/tahun global,S1 Hubungan Internasional + seleksi diplomat
Customs & Border Protection Officer,"Mengatur arus barang dan orang di perbatasan, menjaga keamanan nasional.",Kuasai regulasi bea cukai & profiling.,USD 50.000+/tahun global,SMA/D3 Hukum atau Keamanan
Civil Engineer,"Merancang infrastruktur publik seperti jalan, jembatan, dan bangunan.",Kuasai struktur dan software perencanaan sipil.,USD 75.000+/tahun global,S1 Teknik Sipil
